"z","dest","src","probability","transition energy (in eV)"
27,3,5,"4.38210E-03","6.93800E+02"
27,3,7,"1.16510E-05","7.37400E+02"
27,3,8,"2.16770E-03","7.91410E+02"
27,3,10,"9.63101E-05","7.99730E+02"
27,4,5,"4.06980E-03","6.77800E+02"
27,4,6,"5.77370E-06","7.15900E+02"
27,4,7,"5.61670E-06","7.21900E+02"
27,4,8,"1.78750E-04","7.76250E+02"
27,4,9,"1.96340E-03","7.76250E+02"
27,4,10,"8.75179E-05","7.84480E+02"
27,6,8,"7.13272E-06","6.02400E+01"
27,6,10,"7.59802E-07","6.63600E+01"
27,7,8,"6.45152E-07","5.83300E+01"
27,7,9,"5.88982E-06","5.85400E+01"
27,7,10,"2.49311E-07","6.44500E+01"
27,3,30,"2.93070E-10","1.52500E+01"
27,5,30,"1.84516E-05","3.68634E+01"
28,1,3,"1.21060E-01","7.46103E+03"
28,1,4,"2.36419E-01","7.47825E+03"
28,1,6,"1.48050E-02","8.26477E+03"
28,1,7,"2.90299E-02","8.26477E+03"
28,1,8,"1.26910E-05","8.32868E+03"
28,1,9,"1.84450E-05","8.32868E+03"
28,2,3,"2.14808E-05","1.21520E+02"
28,2,4,"9.31647E-05","1.39480E+02"
28,2,6,"6.32143E-04","9.40700E+02"
28,2,7,"9.67704E-04","9.40700E+02"
28,2,8,"2.27301E-06","1.00762E+03"
28,2,9,"2.97943E-06","1.00830E+03"
28,3,5,"4.55671E-03","7.62000E+02"
28,3,7,"1.39400E-05","8.07600E+02"
28,3,8,"3.12391E-03","8.68770E+02"
28,3,10,"1.08300E-04","8.76890E+02"
28,4,5,"4.26136E-03","7.42720E+02"
28,4,6,"7.03973E-06","7.84700E+02"
28,4,7,"6.83503E-06","7.89900E+02"
28,4,8,"2.62697E-04","8.51470E+02"
28,4,9,"2.85977E-03","8.51470E+02"
28,4,10,"9.78831E-05","8.58930E+02"
28,6,8,"1.20271E-05","6.55600E+01"
28,6,10,"1.41311E-06","7.23900E+01"
28,7,8,"1.09460E-06","6.32900E+01"
28,7,9,"1.00110E-05","6.35500E+01"
28,7,10,"5.10659E-07","7.01200E+01"
28,3,30,"3.92551E-10","1.79600E+01"
28,5,30,"2.30673E-05","3.97647E+01"
29,1,3,"1.31119E-01","8.02784E+03"
29,1,4,"2.55668E-01","8.04782E+03"
29,1,6,"1.58899E-02","8.90541E+03"
29,1,7,"3.10908E-02","8.90541E+03"
29,1,8,"1.79389E-05","8.97714E+03"
29,1,9,"2.59348E-05","8.97714E+03"
29,2,3,"1.91460E-05","1.27570E+02"
29,2,4,"8.71820E-05","1.48610E+02"
29,2,6,"6.88360E-04","1.02279E+03"
29,2,7,"1.06520E-03","1.02279E+03"
29,2,8,"2.60100E-06","1.09270E+03"
29,2,9,"3.42210E-06","1.09300E+03"
29,3,5,"4.65603E-03","8.32100E+02"
29,3,7,"1.62541E-05","8.78500E+02"
29,3,8,"4.42993E-03","9.49840E+02"
29,3,10,"1.20891E-04","9.51420E+02"
29,4,5,"4.33818E-03","8.11080E+02"
29,4,6,"8.20307E-06","8.55800E+02"
29,4,7,"7.94827E-06","8.58800E+02"
29,4,8,"3.70919E-04","9.29680E+02"
29,4,9,"3.97209E-03","9.29680E+02"
29,4,10,"1.06190E-04","9.30380E+02"
29,6,8,"1.91500E-05","7.04100E+01"
29,6,10,"2.33800E-06","7.33900E+01"
29,7,8,"1.74600E-06","6.77700E+01"
29,7,9,"1.59670E-05","6.80600E+01"
29,7,10,"9.55071E-07","7.07500E+01"
29,3,30,"5.18584E-10","2.10400E+01"
29,5,30,"2.82323E-05","4.26355E+01"
30,1,3,"1.40620E-01","8.61582E+03"
30,1,4,"2.73809E-01","8.63891E+03"
30,1,6,"1.73890E-02","9.57203E+03"
30,1,7,"3.39969E-02","9.57203E+03"
30,1,8,"2.35079E-05","9.64990E+03"
30,1,9,"3.39889E-05","9.64990E+03"
30,2,3,"1.74001E-05","1.33900E+02"
30,2,4,"8.30426E-05","1.58400E+02"
30,2,6,"7.38615E-04","1.10700E+03"
30,2,7,"1.17501E-03","1.10700E+03"
30,2,8,"2.89562E-06","1.18570E+03"
30,2,9,"3.91643E-06","1.18610E+03"
30,3,5,"4.61199E-03","9.06300E+02"
30,3,7,"1.80819E-05","9.57400E+02"
30,3,8,"5.87348E-03","1.03465E+03"
30,3,10,"1.30420E-04","1.04189E+03"
30,4,5,"4.34963E-03","8.84300E+02"
30,4,6,"9.21506E-06","9.31700E+02"
30,4,7,"8.90995E-06","9.34500E+02"
30,4,8,"4.96303E-04","1.01177E+03"
30,4,9,"5.25973E-03","1.01177E+03"
30,4,10,"1.13281E-04","1.01739E+03"
30,6,8,"2.88079E-05","7.68900E+01"
30,6,10,"3.87618E-06","8.51300E+01"
30,7,8,"2.62310E-06","7.37400E+01"
30,7,9,"2.40950E-05","7.41300E+01"
30,7,10,"1.82330E-06","8.19800E+01"
30,3,30,"6.48668E-10","2.45000E+01"
30,5,30,"3.41563E-05","4.59412E+01"
31,1,3,"1.49780E-01","9.22483E+03"
31,1,4,"2.91200E-01","9.25167E+03"
31,1,6,"1.89300E-02","1.02603E+04"
31,1,7,"3.69890E-02","1.02642E+04"
31,1,8,"3.00890E-05","1.03482E+04"
31,1,9,"4.34600E-05","1.03482E+04"
31,1,11,"1.07990E-04","1.03260E+04"
31,1,12,"2.05980E-04","1.03261E+04"
31,2,3,"1.60641E-05","1.40300E+02"
31,2,4,"8.07564E-05","1.68700E+02"
31,2,6,"7.96764E-04","1.19690E+03"
31,2,7,"1.28631E-03","1.19690E+03"
31,2,8,"3.25052E-06","1.28200E+03"
31,2,9,"4.51872E-06","1.28260E+03"
31,2,11,"4.92423E-06","1.28570E+03"
31,2,12,"8.79855E-06","1.28582E+03"
31,3,5,"4.43283E-03","9.84220E+02"
31,3,7,"1.96281E-05","1.04070E+03"
31,3,8,"7.53404E-03","1.12476E+03"
31,3,10,"1.37591E-04","1.13871E+03"
31,3,12,"1.43451E-08","1.14552E+03"
31,4,5,"4.30092E-03","9.57170E+02"
31,4,6,"1.00801E-05","1.00990E+03"
31,4,7,"9.72506E-06","1.01390E+03"
31,4,8,"6.45924E-04","1.09797E+03"
31,4,9,"6.71294E-03","1.09797E+03"
31,4,10,"1.19511E-04","1.11031E+03"
31,4,11,"6.63504E-09","1.11700E+03"
31,4,12,"6.24584E-09","1.11712E+03"
31,5,7,"2.86411E-05","5.04700E+01"
31,5,11,"5.87312E-07","1.52750E+02"
